season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;0;0;12560.73291015625;1494.5870971679688;-136.4288501739502;248.87660217285156
winter;0;1;12252.205322265625;1478.1338500976562;-149.08871841430664;241.43704986572266
winter;0;2;12499.723876953125;1481.52490234375;-157.81431579589844;248.43574905395508
winter;0;3;12811.8505859375;1482.9828491210938;-158.7869758605957;250.7385025024414
winter;0;4;12793.34375;1480.168701171875;-123.53057670593262;247.08371734619138
winter;0;5;12791.427001953125;1483.1226196289062;-102.32862091064453;248.35128784179688
winter;0;6;13510.029296875;1500.094970703125;-22.425926208496094;246.30653381347656
winter;0;7;14326.291259765625;1477.5487670898438;69.16386985778809;247.59744262695312
winter;0;8;14571.944091796875;1505.7579345703125;165.9706916809082;246.43213272094727
winter;0;9;14589.29248046875;1485.6627197265625;218.89085006713867;247.0155792236328
winter;0;10;14296.05517578125;1478.8040161132812;112.28622627258301;248.59394073486328
winter;0;11;13438.931396484375;1469.5183715820312;86.00296401977539;247.2978057861328
winter;0;12;13177.578125;1480.657470703125;32.93256378173828;247.10144805908203
winter;0;13;13008.061767578125;1482.762451171875;-43.370970726013184;248.03404998779297
winter;0;14;13011.148681640625;1489.360107421875;-105.20872497558594;246.80551528930664
winter;0;15;13434.123291015625;1486.6096801757812;-57.154794692993164;248.77698516845703
winter;0;16;14082.532958984375;1471.6080322265625;84.11135292053223;251.27964782714844
winter;0;17;14460.00732421875;1504.6618041992188;194.83851623535156;248.6776542663574
winter;0;18;14665.735107421875;1506.0807495117188;198.9861946105957;251.4585189819336
winter;0;19;14585.574462890625;1513.1589965820312;142.02591705322266;247.81373596191406
winter;0;20;14135.453125;1517.3897094726562;53.53450393676758;250.61166763305664
winter;0;21;13622.881103515625;1495.07080078125;-17.155023097991943;249.99073791503906
winter;0;22;13684.0810546875;1511.0497436523438;-75.19559860229492;247.09177017211914
winter;0;23;13328.695068359375;1480.6932983398438;-96.37512588500977;246.5950698852539
winter;1;0;13544.63818359375;1483.728759765625;-135.40579986572266;245.4365463256836
winter;1;1;13554.32958984375;1496.7819213867188;-149.75035858154297;251.2554817199707
winter;1;2;14320.963623046875;1507.5195922851562;-142.28575134277344;245.15732192993164
winter;1;3;13827.232666015625;1497.8422241210938;-133.7875461578369;248.75037384033203
winter;1;4;13954.483154296875;1510.8282470703125;-106.10783004760742;246.72809219360352
winter;1;5;14000.631591796875;1499.3639526367188;-68.86844062805176;250.38542556762692
winter;1;6;14549.160888671875;1491.2364501953125;29.579817295074463;247.2878646850586
winter;1;7;15394.221435546875;1496.8184204101562;122.34642791748047;246.50880813598633
winter;1;8;16248.209228515625;1511.9906005859375;194.49814224243164;251.79885864257812
winter;1;9;15730.069091796875;1480.364990234375;140.64348220825195;251.12458038330078
winter;1;10;15005.537841796875;1496.54736328125;23.614216327667236;249.98171615600586
winter;1;11;14325.311279296875;1469.61083984375;-11.549221992492676;251.58066177368164
winter;1;12;14289.318115234375;1489.0343017578125;-53.530765533447266;246.74382400512695
