season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;0;0;5644.923583984375;2381.9638671875;-1198.110107421875;402.57018280029297
winter;0;1;4899.7874755859375;2427.1866455078125;-1119.1380920410156;398.9142379760742
winter;0;2;4765.7322998046875;2399.6900634765625;-1109.6827392578125;399.8634796142578
winter;0;3;4875.98388671875;2381.5128173828125;-1093.2219543457031;403.82474517822266
winter;0;4;5199.7244873046875;2338.3090209960938;-1072.5446166992188;396.83643341064453
winter;0;5;5692.82861328125;2400.0858154296875;-1063.9414978027344;399.8997268676758
winter;0;6;6428.48046875;2386.578125;-1008.9903564453125;398.99410247802734
winter;0;7;7666.5211181640625;2377.8262329101562;-823.4838562011719;404.55970764160156
winter;0;8;8619.138671875;2385.24658203125;-578.6940765380859;404.3292694091797
winter;0;9;9369.136474609375;2392.14697265625;-437.86251068115234;406.19635009765625
winter;0;10;9960.52587890625;2383.8953247070312;-367.95703125;410.78333282470703
winter;0;11;10873.714599609375;2427.5918579101562;-411.00023651123047;405.7733459472656
winter;0;12;11243.2021484375;2415.7994995117188;-510.9518127441406;404.85514068603516
winter;0;13;10829.397216796875;2406.0305786132812;-618.0670928955078;401.3463592529297
winter;0;14;10153.632080078125;2383.0391235351562;-708.9331359863281;406.3373031616211
winter;0;15;10009.6943359375;2403.5686645507812;-796.6375885009766;395.6454162597656
winter;0;16;11909.4267578125;2414.3094482421875;-832.5012664794922;402.51947021484375
winter;0;17;13391.263427734375;2430.8787231445312;-918.1811676025391;402.63232421875
winter;0;18;13970.9326171875;2395.5179443359375;-1024.0623931884766;404.47818756103516
winter;0;19;13461.4873046875;2453.247314453125;-1142.1345520019531;404.00762939453125
winter;0;20;12206.7353515625;2432.1663818359375;-1258.5804748535156;402.20858001708984
winter;0;21;10484.154296875;2431.0878295898438;-1311.1537475585938;408.5515594482422
winter;0;22;8731.134765625;2417.5856323242188;-1325.5552978515625;406.96927642822266
winter;0;23;7090.6685791015625;2444.0437622070312;-1295.6853637695312;406.8587417602539
winter;1;0;5770.482666015625;2399.9808349609375;-1223.6569213867188;406.3463668823242
winter;1;1;5017.844482421875;2392.6376953125;-1147.1497802734375;407.66968536376953
winter;1;2;4900.4361572265625;2413.3414306640625;-1131.5651550292969;403.7458190917969
winter;1;3;5050.020751953125;2397.2007446289062;-1101.0325927734375;403.23316955566406
winter;1;4;5396.66064453125;2428.1571044921875;-1093.6453247070312;404.09505462646484
