;P_HOUSEHOLD;Q_HOUSEHOLD;P_HEATPUMP;Q_HEATPUMP;P_PV;Q_PV
2020-01-01 00:00:00;11195,931994840836;-1642,766109249328;35852,36386483509;14027,695428514486;0,0;0,0
2020-01-01 00:15:00;11195,931994840836;-1642,766109249328;35852,36386483509;14027,695428514486;0,0;0,0
2020-01-01 00:30:00;11195,931994840836;-1642,766109249328;35852,36386483509;14027,695428514486;0,0;0,0
2020-01-01 00:45:00;11195,931994840836;-1642,766109249328;35852,36386483509;14027,695428514486;0,0;0,0
2020-01-01 01:00:00;9996,504786131114;-467,3660027431103;45086,04602229863;18400,79378886753;0,0;0,0
2020-01-01 01:15:00;9729,370222981765;-632,5477782295803;25482,037552664056;9034,835470357206;0,0;0,0
2020-01-01 01:30:00;8883,626550632049;-909,124111250974;39870,95266180039;10093,318002520677;0,0;0,0
2020-01-01 01:45:00;8421,897003767226;-836,6785571204288;41395,01758964317;12960,325676748484;0,0;0,0
2020-01-01 02:00:00;8233,022337341305;-1210,3973331345458;31742,557967366127;11932,434780502328;0,0;0,0
2020-01-01 02:15:00;9580,37878460354;-540,7404448562178;38828,43674087522;15631,125102984906;0,0;0,0
2020-01-01 02:30:00;8242,216689385306;-445,6238893777137;34321,96588007612;11202,68757062488;0,0;0,0
2020-01-01 02:45:00;8098,526213200888;-702,6104470332483;36674,72063278624;13963,085866569158;0,0;0,0
2020-01-01 03:00:00;8190,932108349275;-515,4686678674495;39083,893540000936;11710,355199209862;0,0;0,0
2020-01-01 03:15:00;8334,064683532719;-279,5242228647064;19966,48575679991;10545,345238897547;0,0;0,0
2020-01-01 03:30:00;6251,533673265246;-453,3699995981309;34734,88394076027;10744,002327431568;0,0;0,0
2020-01-01 03:45:00;6175,898449240792;-292,7680015809006;25800,57638720405;13161,347950437335;0,0;0,0
2020-01-01 04:00:00;6666,706667539807;-318,6843343589059;36012,81853031579;20254,18589115672;0,0;0,0
2020-01-01 04:15:00;6421,593326568601;-678,9555547707616;31824,729141023465;12709,069210513448;0,0;0,0
2020-01-01 04:30:00;4806,925448650784;-712,1709959557055;25335,83488537471;12028,815332579608;0,0;0,0
2020-01-01 04:45:00;4513,382671144273;-910,5538906749338;43331,35758836528;17710,987203060267;0,0;0,0
2020-01-01 05:00:00;4311,600223541261;-1036,691556100547;26744,370725356195;15233,752681069916;0,0;0,0
2020-01-01 05:15:00;4700,128779093424;-755,1968869739097;28512,67623365191;10748,887326987564;0,0;0,0
2020-01-01 05:30:00;4890,189553960165;-549,9625567062049;37645,70900847109;15608,923693476789;0,0;0,0
2020-01-01 05:45:00;4958,603775872125;-335,93566500589986;31161,884195084025;13185,31767419575;0,0;0,0
2020-01-01 06:00:00;4817,12855843438;-371,38300241136767;33240,77296003761;14152,281871398296;0,0;0,0
2020-01-01 06:15:00;4781,171219295923;-493,4080012138945;37439,30558150474;12109,985113080336;0,0;0,0
2020-01-01 06:30:00;4854,446119181312;-517,1227748263206;16543,104222565227;12741,858788861176;0,0;0,0
2020-01-01 06:45:00;4286,908000988432;-851,4343323791618;39012,22500886919;14977,031553763823;0,0;0,0
2020-01-01 07:00:00;4557,0076584710005;-653,927554765715;38782,634208626194;14878,5276614229;0,0;0,0
2020-01-01 07:15:00;4284,108552000257;-799,3857794832238;39138,57630062102;10379,270998291184;0,0;0,0
2020-01-01 07:30:00;4643,380331844754;-391,7252221093615;41699,77977070277;14142,724260303708;0,0;0,0
2020-01-01 07:45:00;4579,077439414134;-587,3190011147818;39158,44968755783;13611,439014588695;0,0;0,0
2020-01-01 08:00:00;5501,930558649701;-527,601665538052;27387,046923926155;10517,887266608745;0,0;0,0
2020-01-01 08:15:00;6121,577891286203;-1076,7032233031264;34562,8806123866;14368,81265663869;0,0;0,0
2020-01-01 08:30:00;7329,60533328586;-841,9354441402473;33904,13953162033;17014,726558896557;111,22222222222224;0,3333333333333333
2020-01-01 08:45:00;7895,590576595743;-668,7924440611567;40677,729420905605;14005,838441366615;383,8222222222222;0,6000000000000001
2020-01-01 09:00:00;7108,640216785015;-727,4274469422586;43179,50543063486;18767,243291563456;704,5777777777778;0,9666666666666668
2020-01-01 09:15:00;10467,5564321306;-716,3550033615885;48366,31854689918;21649,548769130157;1281,5555555555557;1,2333333333333334
2020-01-01 09:30:00;9448,24933861628;-1002,734108818074;46827,87310568489;20224,75966507593;2170,911111111111;1,6333333333333333
2020-01-01 09:45:00;8475,335888290405;-914,9865561352848;53413,75281555391;24176,198215941586;2458,0;1,9
2020-01-01 10:00:00;9986,475782352025;-1000,9362243599364;43255,19570101635;17998,004777691094;3189,0777777777776;2,333333333333333
2020-01-01 10:15:00;8497,58689833747;-582,9136671566279;45104,66329962413;13453,132889858878;4170,188888888889;2,833333333333333
2020-01-01 10:30:00;9680,197555711537;-396,68877387547633;55899,2120054562;21178,238990105525;7259,422222222221;5,2444444444444445
2020-01-01 10:45:00;10557,075669182666;-308,2165550338739;45001,40263969635;14211,64889976714;10248,444444444443;7,711111111111112
2020-01-01 11:00:00;10492,475462765164;-624,1398901697661;36238,8052264213;18054,86710983382;12913,68888888889;9,255555555555556
2020-01-01 11:15:00;7779,482878579028;-915,6848870969484;34385,54076063368;13401,229355907435;13636,133333333331;9,266666666666666
2020-01-01 11:30:00;12380,853345998128;-882,5022232863644;34490,65632766093;15811,607334306504;14278,81111111111;9,27777777777778
2020-01-01 11:45:00;12045,820452626544;-977,1763327055496;36235,15643671883;15090,61287550396;14718,877777777778;11,233333333333334
2020-01-01 12:00:00;12171,432417721218;-788,4910013980326;31692,899107880083;12805,765896511088;14818,077777777777;11,733333333333333
2020-01-01 12:15:00;12621,70832896763;-666,6846644970066;36744,14537325966;16508,80290381115;14889,233333333334;10,6
2020-01-01 12:30:00;15673,521751827671;-500,6486586683288;34240,26994047165;12470,406777079905;14912,466666666667;9,722222222222223
2020-01-01 12:45:00;19241,69731343587;-280,9002213742142;40304,585424009965;15726,30578762691;14658,82222222222;10,255555555555556
2020-01-01 13:00:00;14374,592008844997;-36,33788785735641;32392,127969413323;15969,958224349555;14362,255555555555;8,88888888888889
2020-01-01 13:15:00;13235,253103129073;-157,34688545372384;31989,04231622484;14633,124433888326;13847,511111111113;9,866666666666664
2020-01-01 13:30:00;15382,158436245389;-418,7818896235677;38100,722363662746;14036,367891565946;13266,822222222225;9,833333333333334
2020-01-01 13:45:00;13718,06433330111;241,7456654858064;30409,831518247385;12182,821339172788;12445,27777777778;9,344444444444443
2020-01-01 14:00:00;14419,902995766532;124,19988382328144;32809,268525547435;12552,379426617084;11461,377777777778;8,31111111111111
2020-01-01 14:15:00;12994,514001803924;-110,38433560530208;30247,83701242866;12902,60111646653;10265,8;8,122222222222222
2020-01-01 14:30:00;10482,755887434218;-150,6596720880929;24971,33254701825;8959,790780342955;9588,511111111113;6,744444444444444
2020-01-01 14:45:00;9911,904552714032;-698,6482219591528;40118,762919828616;12874,937659517922;8572,91111111111;5,611111111111111
2020-01-01 15:00:00;8426,767562781439;-904,341887757844;34953,14066956836;19155,5439087232;7198,011111111111;5,766666666666668
2020-01-01 15:15:00;7240,149007034302;-1015,8387761339136;43463,76605785159;18696,85179137256;5551,6;3,977777777777778
2020-01-01 15:30:00;8116,227109569969;-703,5546675307897;28562,649552249917;10454,129456880368;3965,355555555556;2,788888888888889
2020-01-01 15:45:00;10505,65921847025;-898,2855530904409;39967,65096035005;17611,111091952844;1495,922222222222;1,2888888888888888
2020-01-01 16:00:00;13254,269781833214;-954,9888920903218;38960,142038493694;18324,10791668363;487,9333333333333;0,7
2020-01-01 16:15:00;11438,82812542386;-1096,790447168217;39438,4944095082;15778,07752904362;229,4666666666667;0,6
2020-01-01 16:30:00;10837,325560675732;-1334,3641136367478;30921,68755867216;17754,904351451667;106,4;0,4666666666666667
2020-01-01 16:45:00;13603,081803046332;-1023,840999004244;38269,997748120666;15370,176656993224;0,0;0,0
2020-01-01 17:00:00;14241,048481453783;-1133,4063929786269;33262,49699894587;13093,336125575175;0,0;0,0
2020-01-01 17:15:00;10299,448231124878;-832,1763914638082;39328,8273184564;16655,559975517437;0,0;0,0
2020-01-01 17:30:00;13462,5676932017;-996,8727812767022;40907,000646389824;16836,6952261183;0,0;0,0
2020-01-01 17:45:00;15747,009198845748;-1021,4563319366852;52866,73480111228;24365,62125209173;0,0;0,0
2020-01-01 18:00:00;13105,670440504293;-1272,9816666285203;44021,99569161732;15408,371686674493;0,0;0,0
2020-01-01 18:15:00;12889,826675923669;-915,2679989680638;30935,51989271377;17128,93532178005;0,0;0,0
2020-01-01 18:30:00;12552,063670857751;-939,682001436916;43540,996061197926;20872,092842446436;0,0;0,0
2020-01-01 18:45:00;13590,62521091037;-425,1741114864747;26949,251413567847;15337,239731884005;0,0;0,0
2020-01-01 19:00:00;15585,870913908211;-819,0833326547923;41317,82802753451;16316,483680507878;0,0;0,0
2020-01-01 19:15:00;13896,026678805873;-1033,2841117408325;35016,94860400094;22211,155234829603;0,0;0,0
2020-01-01 19:30:00;15774,875450558136;-1126,1435517512878;45342,963098229295;17800,52599432998;0,0;0,0
2020-01-01 19:45:00;12830,275999196376;-1288,1675550327325;35773,23776253592;19261,8168985976;0,0;0,0
2020-01-01 20:00:00;10158,74121186998;-1216,9000033896;33556,851009811966;16813,30341264574;0,0;0,0
2020-01-01 20:15:00;13491,159215460892;-960,34088821763;47882,72066913172;22934,442983200803;0,0;0,0
2020-01-01 20:30:00;11703,221094173849;-646,1663356536599;40194,22166790432;20492,8903540929;0,0;0,0
2020-01-01 20:45:00;10255,639114379885;-1303,9757766324817;39376,0395685302;16014,983224219732;0,0;0,0
2020-01-01 21:00:00;9721,786895073788;-880,7645538688516;35322,19215003122;19281,678255603045;0,0;0,0
2020-01-01 21:15:00;10131,192005284633;-1134,5245568127075;35163,92194246715;19368,51870187388;0,0;0,0
2020-01-01 21:30:00;9439,535551537412;-948,4776680008416;34881,8817593998;14897,510202921752;0,0;0,0
2020-01-01 21:45:00;9090,994553629556;-1123,607334059043;34611,437285974294;16395,755708519624;0,0;0,0
2020-01-01 22:00:00;9283,35533794827;-976,003556699287;29352,55164900885;13671,886427807263;0,0;0,0
2020-01-01 22:15:00;9221,137207963728;-977,782226339914;49038,42703173956;20936,596241121813;0,0;0,0
2020-01-01 22:30:00;10957,830308151246;-1211,5636654441746;27942,528366099465;10794,177098168268;0,0;0,0
2020-01-01 22:45:00;8204,76922064887;-1021,7141126149226;28344,240415996985;13688,516886091222;0,0;0,0
2020-01-01 23:00:00;8869,7016043769;-1369,8932211259996;37747,5251408789;20620,19421603413;0,0;0,0
2020-01-01 23:15:00;7122,328000259402;-1435,7987804498096;31666,33977191716;13524,976418262064;0,0;0,0
2020-01-01 23:30:00;8262,683104281963;-1410,269667008726;38917,73889711168;17251,80675436655;0,0;0,0
2020-01-01 23:45:00;7021,857663472498;-1013,4256667282854;22215,70408652624;11401,952643015977;0,0;0,0
2020-01-02 00:00:00;6632,039333004421;-882,0844399803219;33877,25281121994;14447,894788191064;0,0;0,0
