season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;0;0;-54.613898277282715;2371.5570678710938;-0.08311220258474344;5.909452438354492
winter;0;1;-40.75051212310791;2363.5700073242188;-0.01467566750943657;5.873841881752014
winter;0;2;-28.626480102539062;2388.4910278320312;0.006529453210532672;5.8949806690216064
winter;0;3;-38.847200870513916;2383.2581176757812;-0.0743391155265272;5.919708728790283
winter;0;4;-3.847031831741333;2371.3289794921875;-0.05121702700853345;5.887097120285034
winter;0;5;-3.5628199577331543;2391.814208984375;-0.09234458208084105;5.927754282951355
winter;0;6;96.03927421569824;2354.5128784179688;-0.004874491598457101;5.7873756885528564
winter;0;7;112.08735179901123;2377.9692993164062;0.12475634366273877;5.921537518501282
winter;0;8;370.22322845458984;2367.1204833984375;0.34818099439144135;5.867969632148743
winter;0;9;1870.1929016113281;2433.3595581054688;1.4398941397666931;5.922484755516052
winter;0;10;5203.4967041015625;2389.5574951171875;3.5170124769210815;5.8984375
winter;0;11;5413.2249755859375;2454.2066650390625;3.624785840511322;5.835670351982117
winter;0;12;5212.0872802734375;2404.4613037109375;3.6388129591941833;5.841062784194946
winter;0;13;5188.504150390625;2415.7420654296875;3.5575833320617676;5.935688376426697
winter;0;14;4270.7332763671875;2419.7908325195312;2.941192328929901;5.8161526918411255
winter;0;15;2289.547637939453;2403.5458374023438;1.7718465924263;5.947489261627197
winter;0;16;303.4510307312012;2384.6838989257812;0.157346255145967;5.828822612762451
winter;0;17;58.347612380981445;2367.7546997070312;-0.05183455906808372;5.8876484632492065
winter;0;18;24.339303016662598;2350.5625;0.037023319862782976;5.913443446159363
winter;0;19;-60.80084991455078;2395.0602416992188;-0.06505680689588185;5.905848026275635
winter;0;20;-69.37743949890137;2386.5144653320312;-0.0183906150050461;5.870233416557312
winter;0;21;-40.47378730773926;2371.881591796875;-0.10636556241661309;5.9445720911026
winter;0;22;-5.1925368309021;2366.58056640625;-0.1100024506449699;5.879788160324097
winter;0;23;-7.166566848754883;2384.1019897460938;0.03997706528753042;5.909210205078125
winter;1;0;-17.034444332122803;2366.2859497070312;-0.06029717717319725;5.9344905614852905
winter;1;1;-73.99347424507141;2372.8307495117188;-0.010036250576376948;5.954258680343628
winter;1;2;-8.056548118591312;2353.9226684570312;-0.1777351126074791;5.922420859336853
winter;1;3;-61.29710650444031;2371.4327392578125;-0.06404228229075667;5.894669055938721
winter;1;4;-93.38414573669434;2387.9465942382812;-0.13809833861887455;5.868638277053833
winter;1;5;0.8829355239868164;2366.7576904296875;-0.04091926291584967;5.928752183914185
winter;1;6;82.50202989578247;2357.6857299804688;0.08068472146987912;5.873384714126587
winter;1;7;158.90457344055176;2353.4248046875;0.1134886927902698;5.939444661140442
winter;1;8;560.6482467651367;2399.3239135742188;0.42900704219937325;5.914638876914978
winter;1;9;3214.1412963867188;2393.3665161132812;2.280002921819687;5.826446294784546
winter;1;10;7362.9554443359375;2443.2169189453125;5.236972332000732;5.959096670150757
winter;1;11;7823.8408203125;2450.1160278320312;5.515831351280212;5.857062816619873
winter;1;12;7798.1280517578125;2439.2134399414062;5.446503281593323;5.9232295751571655
winter;1;13;7264.28759765625;2449.8173217773438;5.170228719711304;5.906386733055115
winter;1;14;5355.2274169921875;2444.6043701171875;3.7803922295570374;5.962123394012451
winter;1;15;2587.5421447753906;2422.6311645507812;1.743594765663147;5.837664842605591
winter;1;16;507.1886863708496;2405.2456665039062;0.3189600817859173;5.919801354408264
winter;1;17;30.523882389068604;2319.8258666992188;0.10259451204910869;5.890137672424316
winter;1;18;37.10578918457031;2365.5629272460938;0.05084796622395512;5.88609516620636
winter;1;19;16.91781234741211;2333.0885009765625;0.010502219200134298;5.873320460319519
winter;1;20;-89.90318584442139;2346.9622192382812;-0.01942495815455912;5.935068488121033
winter;1;21;-81.18957901000977;2373.6785278320312;-0.11213013529777528;5.83366596698761
winter;1;22;-61.612717628479004;2388.8814086914062;-0.0038510225713252544;5.899916768074036
winter;1;23;-65.1942310333252;2354.10498046875;-0.1723111309111118;5.936412215232849
winter;2;0;-81.95238018035889;2401.98583984375;-0.09190142620354888;5.934889435768127
winter;2;1;-66.27035593986511;2353.7311401367188;-0.030804734211415025;5.955690503120422
winter;2;2;-36.74539089202881;2357.0840454101562;-0.0868527647107839;5.85206937789917
winter;2;3;-22.937955856323242;2368.7955322265625;-0.15593526186421514;5.97172749042511
winter;2;4;-19.80726671218872;2408.2325439453125;-0.12603692710399625;5.839763283729553
winter;2;5;24.496540069580078;2355.4077758789062;-0.06483600288629535;5.900001883506775
winter;2;6;36.07811880111694;2321.3214111328125;0.06406573206186292;5.875254511833191
winter;2;7;151.31269073486328;2385.8251342773438;0.135875653475523;5.950457453727722
winter;2;8;428.5913772583008;2380.8450317382812;0.4646156430244446;5.870068192481995
winter;2;9;3110.0924682617188;2412.9794311523438;2.1758502423763275;5.906833529472351
winter;2;10;6960.825927734375;2443.9376831054688;4.774442374706268;5.881375193595886
winter;2;11;9235.41455078125;2419.9889526367188;6.515207290649414;5.943540930747986
winter;2;12;8858.728271484375;2461.09033203125;6.292230844497681;5.909407019615173
winter;2;13;7165.8834228515625;2471.2530517578125;5.045836925506592;5.893798828125
winter;2;14;4876.59033203125;2413.2200927734375;3.535948097705841;5.9057697057724
winter;2;15;2183.618682861328;2400.86669921875;1.6296134889125824;5.932927131652832
winter;2;16;263.1602210998535;2385.287841796875;0.09253750520292668;5.92058789730072
winter;2;17;89.82728910446166;2361.3643798828125;-0.048163337283767704;6.028541922569275
winter;2;18;-12.175620079040527;2371.6558837890625;-0.029279937967658057;5.8234909772872925
winter;2;19;-69.10572737455368;2356.226806640625;-0.04804378747940063;5.864958047866821
winter;2;20;-70.33705425262451;2367.6593627929688;-0.0249965116381645;5.898140788078308
winter;2;21;-63.930126667022705;2351.8057250976562;-0.10482692159712312;5.956571698188782
winter;2;22;-59.95397734642029;2360.7684936523438;-0.09015968313906338;5.860694885253906
winter;2;23;-48.338634967803955;2361.2893676757812;-0.051843179622665;5.903323650360107
winter;3;0;-60.18893778324127;2371.5039672851562;-0.08758267690427597;5.913206696510315
winter;3;1;-83.1018123626709;2357.8118896484375;-0.09084694570628925;5.923731327056885
winter;3;2;-82.63605737686157;2382.631591796875;-0.15702356677502394;5.917514085769653
winter;3;3;-77.01367354393005;2354.3291015625;-0.09884366579353804;5.900429964065552
winter;3;4;-44.57365894317627;2340.500732421875;-0.011972888372838476;5.870079517364502
winter;3;5;-2.6699652671814;2348.9600830078125;-0.010467627085745328;5.921096563339233
winter;3;6;28.39795970916748;2396.1495361328125;0.00027925563335885056;5.871434211730957
winter;3;7;114.38232612609863;2360.1979370117188;0.09956047404557462;5.910035014152527
winter;3;8;411.0893249511719;2369.996826171875;0.34273041784763336;5.877696990966797
winter;3;9;3192.991668701172;2437.1473388671875;2.3090095221996307;6.000650644302368
winter;3;10;6537.3447265625;2411.7804565429688;4.546929836273193;5.9058917760849
winter;3;11;8418.909545898438;2439.8021240234375;5.9915536642074585;5.869434475898743
winter;3;12;8889.6669921875;2473.3856201171875;6.299081563949585;5.862502217292786
winter;3;13;7304.2315673828125;2431.8798217773438;5.150216698646545;5.859380602836609
winter;3;14;4612.5009765625;2413.1300048828125;3.295955777168274;5.938526153564453
winter;3;15;2163.5415649414062;2393.8115234375;1.4664551317691803;5.847060441970825
winter;3;16;359.4459991455078;2392.255126953125;0.3442498818039894;5.896798253059387
winter;3;17;87.54122352600098;2351.8372802734375;0.09261535387486215;5.895800948143005
winter;3;18;48.06940293312073;2374.114013671875;0.09381032967939976;5.85475766658783
winter;3;19;8.658234119415283;2379.7939453125;0.10105432290583849;5.95094358921051
winter;3;20;-32.46082162857056;2381.3707885742188;0.02098448527976875;5.929836273193359
winter;3;21;-47.5556480884552;2379.78515625;0.006195926340296878;5.903508901596069
winter;3;22;-21.337868213653564;2378.948974609375;-0.026888449501711896;5.852596879005432
winter;3;23;-67.76420879364014;2384.0689697265625;0.09560011047869921;5.881062150001526
winter;4;0;-34.91678738594055;2365.6722412109375;-0.0707958713173866;5.888006925582886
winter;4;1;-84.96021270751953;2405.7664794921875;-0.10515450593084094;5.8685712814331055
winter;4;2;-38.84529495239258;2367.8121948242188;0.08410573843866581;5.8988282680511475
winter;4;3;-14.460404634475708;2348.7156982421875;-0.0179269788786769;5.904012680053711
winter;4;4;6.5778281688690186;2374.019775390625;-0.017321931198239313;5.937686562538147
winter;4;5;-45.117151737213135;2362.7349243164062;-0.04623068287037312;5.931303024291992
winter;4;6;45.07132863998413;2340.271728515625;-0.036986660677939626;5.898389577865601
winter;4;7;106.40646934509277;2421.9453735351562;0.040743668330833316;5.8540016412734985
winter;4;8;397.6084747314453;2355.7925415039062;0.28678127750754356;5.910521626472473
winter;4;9;2836.1968383789062;2415.8009643554688;1.98829847574234;5.895761251449585
winter;4;10;5933.841064453125;2417.0609130859375;4.063586354255676;5.87991201877594
winter;4;11;7817.2117919921875;2410.288818359375;5.418375015258789;5.928758144378662
winter;4;12;7549.964111328125;2433.4150390625;5.354700803756714;5.923470616340637
winter;4;13;6622.490966796875;2415.7305908203125;4.738385319709778;5.838544249534607
winter;4;14;4854.73291015625;2404.162109375;3.3494006991386414;5.972392320632935
winter;4;15;2312.2811584472656;2422.2457885742188;1.6397705674171448;5.94187867641449
winter;4;16;452.04557037353516;2359.38134765625;0.39779388904571533;5.892320156097412
winter;4;17;117.7418909072876;2370.3726806640625;0.029175657778978372;5.842211365699768
winter;4;18;66.77924537658691;2373.1069946289062;-0.021017922088503827;5.843067288398743
winter;4;19;38.087382078170776;2384.668212890625;-0.058196848258376094;5.888004302978516
winter;4;20;-17.282306671142578;2360.6969604492188;0.016653245314955684;5.813977956771851
winter;4;21;-36.207337975502014;2367.1204833984375;0.01391190593130888;5.8409940004348755
winter;4;22;-14.697909593582153;2356.3262329101562;-0.032934810500592;5.85533082485199
winter;4;23;39.357351303100586;2361.5404052734375;-0.056884646881371674;5.892232060432434
winter;5;0;-10.111907958984375;2345.0504150390625;0.019734180532395826;5.970040440559387
