Line Constraint Violations:
Line 24: Time Step 74, 1 violations
Line 24: Time Step 230, 2 violations
Line 24: Time Step 262, 2 violations
Line 24: Time Step 517, 2 violations
Line 24: Time Step 524, 1 violations
Line 24: Time Step 525, 1 violations
Line 24: Time Step 551, 1 violations
Line 24: Time Step 618, 4 violations
Line 24: Time Step 162, 1 violations
Line 24: Time Step 549, 1 violations
Line 24: Time Step 622, 1 violations
Line 24: Time Step 645, 3 violations
Line 24: Time Step 648, 2 violations
Line 24: Time Step 614, 1 violations
Line 24: Time Step 94, 1 violations
Line 24: Time Step 338, 1 violations
Line 24: Time Step 522, 2 violations
Line 24: Time Step 544, 1 violations
Line 24: Time Step 554, 1 violations
Line 24: Time Step 559, 1 violations
Line 24: Time Step 619, 1 violations
Line 24: Time Step 644, 1 violations
Line 24: Time Step 170, 1 violations
Line 24: Time Step 171, 2 violations
Line 24: Time Step 258, 1 violations
Line 24: Time Step 356, 1 violations
Line 24: Time Step 528, 2 violations
Line 24: Time Step 530, 2 violations
Line 24: Time Step 531, 2 violations
Line 24: Time Step 612, 3 violations
Line 24: Time Step 649, 1 violations
Line 24: Time Step 78, 1 violations
Line 24: Time Step 451, 1 violations
Line 24: Time Step 537, 1 violations
Line 24: Time Step 539, 3 violations
Line 24: Time Step 655, 1 violations
Line 24: Time Step 71, 1 violations
Line 24: Time Step 508, 1 violations
Line 24: Time Step 566, 1 violations
Line 24: Time Step 621, 1 violations
Line 24: Time Step 638, 1 violations
Line 24: Time Step 643, 1 violations
Line 24: Time Step 646, 1 violations
Line 24: Time Step 36, 1 violations
Line 24: Time Step 312, 1 violations
Line 24: Time Step 610, 1 violations
Line 24: Time Step 615, 1 violations
Line 24: Time Step 616, 1 violations
Line 24: Time Step 625, 1 violations
Line 24: Time Step 632, 2 violations
Line 24: Time Step 639, 1 violations
Line 24: Time Step 49, 1 violations
Line 24: Time Step 76, 1 violations
Line 24: Time Step 224, 1 violations
Line 24: Time Step 351, 1 violations
Line 24: Time Step 518, 1 violations
Line 24: Time Step 608, 1 violations
Line 24: Time Step 55, 1 violations
Line 24: Time Step 226, 1 violations
Line 24: Time Step 550, 1 violations
Line 24: Time Step 613, 1 violations
Line 28: Time Step 262, 1 violations
Line 28: Time Step 622, 1 violations
Line 28: Time Step 645, 2 violations
Line 28: Time Step 648, 1 violations
Line 28: Time Step 517, 1 violations
Line 28: Time Step 522, 1 violations
Line 28: Time Step 559, 1 violations
Line 28: Time Step 644, 1 violations
Line 28: Time Step 258, 1 violations
Line 28: Time Step 530, 2 violations
Line 28: Time Step 612, 2 violations
Line 28: Time Step 71, 1 violations
Line 28: Time Step 566, 1 violations
Line 28: Time Step 638, 1 violations
Line 28: Time Step 646, 1 violations
Line 28: Time Step 312, 1 violations
Line 28: Time Step 610, 1 violations
Line 28: Time Step 616, 1 violations
Line 28: Time Step 632, 2 violations
Line 28: Time Step 639, 1 violations
Line 28: Time Step 76, 1 violations
Line 28: Time Step 224, 1 violations
Line 28: Time Step 55, 1 violations
Line 28: Time Step 531, 1 violations
Line 28: Time Step 618, 1 violations
Line 33: Time Step 262, 1 violations
Line 33: Time Step 525, 1 violations
Line 33: Time Step 551, 1 violations
Line 33: Time Step 618, 2 violations
Line 33: Time Step 622, 1 violations
Line 33: Time Step 645, 3 violations
Line 33: Time Step 648, 2 violations
Line 33: Time Step 614, 1 violations
Line 33: Time Step 517, 1 violations
Line 33: Time Step 522, 1 violations
Line 33: Time Step 544, 1 violations
Line 33: Time Step 559, 1 violations
Line 33: Time Step 644, 1 violations
Line 33: Time Step 258, 1 violations
Line 33: Time Step 530, 2 violations
Line 33: Time Step 612, 2 violations
Line 33: Time Step 649, 1 violations
Line 33: Time Step 528, 1 violations
Line 33: Time Step 539, 1 violations
Line 33: Time Step 71, 1 violations
Line 33: Time Step 566, 1 violations
Line 33: Time Step 638, 1 violations
Line 33: Time Step 646, 1 violations
Line 33: Time Step 312, 1 violations
Line 33: Time Step 610, 1 violations
Line 33: Time Step 615, 1 violations
Line 33: Time Step 616, 1 violations
Line 33: Time Step 632, 2 violations
Line 33: Time Step 639, 1 violations
Line 33: Time Step 49, 1 violations
Line 33: Time Step 76, 1 violations
Line 33: Time Step 224, 1 violations
Line 33: Time Step 518, 1 violations
Line 33: Time Step 55, 1 violations
Line 33: Time Step 531, 1 violations
Line 33: Time Step 550, 1 violations
Line 4: Time Step 645, 1 violations
Line 4: Time Step 648, 1 violations
Line 4: Time Step 522, 1 violations
Line 4: Time Step 258, 1 violations
Line 4: Time Step 612, 1 violations
Line 4: Time Step 566, 1 violations
Line 4: Time Step 646, 1 violations
Line 4: Time Step 610, 1 violations
Line 4: Time Step 632, 2 violations
Line 4: Time Step 76, 1 violations
Line 19: Time Step 645, 1 violations
Line 19: Time Step 258, 1 violations
Line 19: Time Step 610, 1 violations

Transformer Constraint Violations:
Time Step 74, 1 violations
Time Step 230, 2 violations
Time Step 262, 2 violations
Time Step 365, 1 violations
Time Step 517, 2 violations
Time Step 524, 2 violations
Time Step 525, 1 violations
Time Step 545, 1 violations
Time Step 551, 1 violations
Time Step 618, 4 violations
Time Step 162, 1 violations
Time Step 175, 2 violations
Time Step 549, 1 violations
Time Step 622, 1 violations
Time Step 645, 3 violations
Time Step 648, 3 violations
Time Step 614, 1 violations
Time Step 639, 2 violations
Time Step 94, 1 violations
Time Step 250, 1 violations
Time Step 338, 1 violations
Time Step 522, 2 violations
Time Step 544, 1 violations
Time Step 554, 1 violations
Time Step 559, 1 violations
Time Step 619, 3 violations
Time Step 644, 1 violations
Time Step 170, 1 violations
Time Step 171, 2 violations
Time Step 172, 1 violations
Time Step 258, 1 violations
Time Step 356, 1 violations
Time Step 528, 2 violations
Time Step 530, 2 violations
Time Step 531, 2 violations
Time Step 612, 3 violations
Time Step 649, 1 violations
Time Step 76, 2 violations
Time Step 78, 1 violations
Time Step 451, 1 violations
Time Step 516, 1 violations
Time Step 537, 1 violations
Time Step 539, 3 violations
Time Step 632, 3 violations
Time Step 655, 1 violations
Time Step 71, 1 violations
Time Step 236, 1 violations
Time Step 354, 1 violations
Time Step 508, 1 violations
Time Step 540, 1 violations
Time Step 566, 1 violations
Time Step 621, 2 violations
Time Step 638, 1 violations
Time Step 643, 1 violations
Time Step 646, 1 violations
Time Step 36, 1 violations
Time Step 129, 1 violations
Time Step 312, 1 violations
Time Step 357, 1 violations
Time Step 424, 1 violations
Time Step 605, 1 violations
Time Step 608, 2 violations
Time Step 610, 1 violations
Time Step 615, 1 violations
Time Step 616, 1 violations
Time Step 624, 1 violations
Time Step 625, 1 violations
Time Step 49, 1 violations
Time Step 224, 1 violations
Time Step 351, 1 violations
Time Step 518, 1 violations
Time Step 651, 1 violations
Time Step 55, 1 violations
Time Step 226, 1 violations
Time Step 550, 1 violations
Time Step 613, 1 violations

Maximum Violations:
Line 24, Time Step 618: 4 violations
