Line Constraint Violations:
Line 9: Time Step 48, 1 violations

Transformer Constraint Violations:
Time Step 24, 37 violations
Time Step 61, 16 violations
Time Step 6, 19 violations
Time Step 10, 10 violations
Time Step 22, 27 violations
Time Step 23, 24 violations
Time Step 26, 26 violations
Time Step 37, 23 violations
Time Step 42, 29 violations
Time Step 60, 27 violations
Time Step 64, 36 violations
Time Step 66, 35 violations
Time Step 78, 27 violations
Time Step 86, 25 violations
Time Step 88, 31 violations
Time Step 100, 24 violations
Time Step 104, 11 violations
Time Step 118, 18 violations
Time Step 128, 36 violations
Time Step 129, 25 violations
Time Step 137, 29 violations
Time Step 141, 22 violations
Time Step 144, 10 violations
Time Step 146, 30 violations
Time Step 149, 29 violations
Time Step 150, 36 violations
Time Step 153, 32 violations
Time Step 156, 35 violations
Time Step 161, 46 violations
Time Step 163, 30 violations
Time Step 164, 27 violations
Time Step 165, 28 violations
Time Step 166, 19 violations
Time Step 7, 12 violations
Time Step 12, 28 violations
Time Step 52, 31 violations
Time Step 68, 21 violations
Time Step 95, 22 violations
Time Step 99, 29 violations
Time Step 113, 28 violations
Time Step 115, 25 violations
Time Step 123, 30 violations
Time Step 125, 28 violations
Time Step 130, 32 violations
Time Step 132, 33 violations
Time Step 134, 43 violations
Time Step 136, 34 violations
Time Step 138, 34 violations
Time Step 159, 28 violations
Time Step 162, 32 violations
Time Step 16, 28 violations
Time Step 97, 24 violations
Time Step 116, 24 violations
Time Step 131, 29 violations
Time Step 157, 36 violations
Time Step 19, 38 violations
Time Step 28, 28 violations
Time Step 50, 31 violations
Time Step 135, 44 violations
Time Step 1, 4 violations
Time Step 4, 23 violations
Time Step 13, 28 violations
Time Step 29, 29 violations
Time Step 34, 31 violations
Time Step 39, 26 violations
Time Step 41, 28 violations
Time Step 58, 12 violations
Time Step 62, 36 violations
Time Step 73, 27 violations
Time Step 74, 34 violations
Time Step 85, 22 violations
Time Step 89, 35 violations
Time Step 90, 28 violations
Time Step 92, 37 violations
Time Step 107, 24 violations
Time Step 110, 24 violations
Time Step 139, 23 violations
Time Step 143, 23 violations
Time Step 154, 38 violations
Time Step 155, 25 violations
Time Step 158, 25 violations
Time Step 167, 38 violations
Time Step 25, 25 violations
Time Step 35, 34 violations
Time Step 51, 24 violations
Time Step 69, 18 violations
Time Step 82, 22 violations
Time Step 83, 32 violations
Time Step 87, 23 violations
Time Step 98, 28 violations
Time Step 117, 19 violations
Time Step 124, 33 violations
Time Step 147, 24 violations
Time Step 148, 31 violations
Time Step 8, 9 violations
Time Step 14, 30 violations
Time Step 36, 26 violations
Time Step 43, 35 violations
Time Step 47, 22 violations
Time Step 96, 25 violations
Time Step 103, 24 violations
Time Step 126, 34 violations
Time Step 152, 32 violations
Time Step 160, 35 violations
Time Step 38, 29 violations
Time Step 49, 34 violations
Time Step 91, 31 violations
Time Step 108, 22 violations
Time Step 65, 32 violations
Time Step 119, 24 violations
Time Step 5, 31 violations
Time Step 76, 21 violations
Time Step 0, 8 violations
Time Step 15, 23 violations
Time Step 55, 13 violations
Time Step 67, 29 violations
Time Step 114, 34 violations
Time Step 120, 9 violations
Time Step 20, 23 violations
Time Step 30, 29 violations
Time Step 33, 9 violations
Time Step 40, 32 violations
Time Step 48, 29 violations
Time Step 54, 30 violations
Time Step 59, 29 violations
Time Step 75, 23 violations
Time Step 79, 8 violations
Time Step 94, 17 violations
Time Step 109, 35 violations
Time Step 3, 24 violations
Time Step 81, 14 violations
Time Step 102, 6 violations
Time Step 111, 7 violations
Time Step 17, 24 violations
Time Step 18, 33 violations
Time Step 31, 10 violations
Time Step 53, 28 violations
Time Step 84, 24 violations
Time Step 112, 25 violations
Time Step 151, 29 violations
Time Step 21, 17 violations
Time Step 70, 20 violations
Time Step 93, 20 violations
Time Step 106, 24 violations
Time Step 133, 33 violations
Time Step 142, 26 violations
Time Step 27, 26 violations
Time Step 46, 23 violations
Time Step 63, 33 violations
Time Step 71, 19 violations
Time Step 140, 26 violations
Time Step 32, 7 violations
Time Step 45, 31 violations
Time Step 127, 25 violations
Time Step 44, 25 violations
Time Step 80, 6 violations
Time Step 9, 6 violations
Time Step 121, 9 violations
Time Step 77, 6 violations
Time Step 122, 10 violations
Time Step 101, 6 violations
Time Step 72, 3 violations
Time Step 11, 3 violations
Time Step 145, 12 violations
Time Step 56, 9 violations
Time Step 105, 16 violations
Time Step 57, 6 violations
Time Step 2, 4 violations

Maximum Violations:
Line 9, Time Step 48: 1 violations
